X,Y,OBJECTID,REQUESTAPPROVALSTATUS,REQUESTCOMPLETEDNOTE,REQUESTTYPENOTE,DATESUBMITTED,ADDRESS_OR_LOCATION_OF_CALL,ADDRESS,SD,SPA,CITY,LESSTHAN5PEH,POSSIBLEDWELLERS,COLLABORATORDATEAVAILABILITY,REQUESTCOMPLETEDSTATUS,AMOUNTDEBRISREMOVEDINT,REQUESTCOMPLETEDDATE,GLOBALID
-117.904330637936,33.9930695986136,3255,Request Completed,03/07/25,Immediate Action,2025/03/04 18:30:00+00,"1400 Felicia Avenue, Rowland Heights, CA, 91748","*Repeat Maintenance Cleanup*
Encampment and debris in underground portion of Vernon Channel. In danger of storm season flooding. Adjacent to Shopping Center at 1330 Fullerton Rd, also underneath Colima Rd. Previously cleaned on 2/28/25.",1,SPA 3,City of Industry,yes,2,,yes,10,2025/03/07 20:00:00+00,5a9cce54-c9ff-4c3f-832b-e320c8cefc04
-117.885847792763,34.0100228419991,3256,Request Completed,05/21/25,Full Encampment Protocol,2025/03/04 20:27:00+00,"19038 La Puente Road, West Covina, CA, 91792",19020 LaPuente Rd xst Nogales,1,SPA 3,Unincorporated - San Jose Hills,yes,3,2025/06/03 15:00:00+00,prev_approved_activity_not_required,0,2025/05/21 19:00:00+00,b56e7ab5-b02e-4ee8-8f15-19af60c027e0
-118.327593273329,33.8977009669337,3257,Request Completed,05/21/25,Full Encampment Protocol,2025/03/05 15:25:00+00,"3128 West 147th St, Gardena, CA, 90249",Alley behind 14811 Crenshaw Blvd. Xst W 147th st. ,2,SPA 8,Unincorporated - El Camino Village,yes,4,2025/06/24 15:00:00+00,prev_approved_activity_not_required,0,2025/05/21 19:00:00+00,5e4cf0d3-a737-4ed4-9b10-c88508419c5a
-118.202957969539,34.0985802912326,3258,Request Completed,03/07/25,Immediate Action,2025/03/05 22:35:00+00,"4697 North Griffin Avenue Los Angeles, CA, 90031","Arroyo Seco Channel, Down Stream of S. Ave. 52, encampments are at the invert that blocking the flowline. Notified storm warning 2 PEH on 03/05/25. Very High FHSZ. ",1,SPA 4,Los Angeles - Lincoln Heights,yes,2,,yes,5,2025/03/07 20:00:00+00,a5876df4-e51f-48f5-8e15-0cbdd1bf6c55
-118.179028155364,34.0122724324701,3259,Request Completed,06/18/25,Non-Displacement,2025/03/06 17:34:00+00,"1519 South Sunol Drive, Los Angeles, CA, 90023",1519 S. Sunol Drive,1,SPA 7,Unincorporated - East Los Angeles,yes,1,2025/06/17 15:00:00+00,yes,10,2025/06/18 19:00:00+00,a3a9b7d7-beab-46d6-9006-b131adaf4d2a
-118.241924265585,33.9598010857125,3260,Request Completed,05/21/25,Full Encampment Protocol,2025/03/06 17:59:00+00,"8602 Beach St, Los Angeles, CA, 90002",North west corner Beach St and Firestone Bl. On Beach side. ,2,SPA 6,Unincorporated - Florence-Firestone,yes,2,2025/07/08 15:00:00+00,prev_approved_activity_not_required,0,2025/05/21 19:00:00+00,14239e98-7fa7-4fe8-a7c4-87e78e864c4b
-118.226313276432,33.8245263686015,3261,Request Completed,06/25/25,Non-Displacement,2025/03/06 18:40:00+00,"2501 East 223rd St Long Beach, CA, 90810",2501 E 223rd  Street near Alameda,4,SPA 8,Los Angeles - Wilmington,no,20,2025/06/25 15:00:00+00,yes,200,2025/06/25 19:00:00+00,3ce49e1e-8e71-4d54-b813-047a948ab901
-118.536302587122,34.1903576162013,3262,Request Completed,03/18/25,Immediate Action,2025/03/06 18:23:00+00,"6557 Reseda Boulevard, Reseda, CA, 91335",Reseda Blvd and kittridge street under Los Angeles river reseda bridge. ,3,SPA 2,Los Angeles - Reseda,no,6,2025/03/18 15:00:00+00,yes,10,2025/03/18 19:00:00+00,744d5f86-ff1d-43e5-80aa-e21abcb390d9
-118.158912677392,34.1976800887129,3263,Request Completed,08/19/25,Non-Displacement,2025/03/06 19:47:00+00,"3056 Lincoln Avenue, Altadena, CA, 91001",3056 Lincoln Avenue,5,SPA 3,Unincorporated - Altadena,yes,1,2025/08/19 15:32:00+00,prev_approved_activity_not_required,0,2025/08/19 19:00:00+00,8791bee5-ff0e-4025-9e52-29ed5beab23e
-118.393567050368,34.1777668561591,3264,Request Completed,03/17/25,Immediate Action,2025/03/06 19:58:00+00,"5907 Bucknell Avenue, Valley Village, CA, 91607","Tujunga Wash Central Branch Channel, downstream of Oxnard St, behind 5907 Bucknell Ave.  Walk-up access via gate at 11931 Tiara Street (secured with Cat-30 lock).",5,SPA 2,Los Angeles - North Hollywood,no,5,2025/03/12 15:00:00+00,yes,12,2025/03/17 19:00:00+00,b1a6285c-bcd7-4eaa-8ae8-968534b4d37f
-118.042154193801,34.0265740698172,3265,Request Completed,03/20/25,Immediate Action,2025/03/06 21:38:00+00,"750 S. Santa Anita Ave. South El Monte, CA 91733",Whittier Narrows Park behind the Pico Rivera Equestrian Center. ,4,SPA 7,City of Pico Rivera,yes,4,,yes,,2025/03/20 19:00:00+00,3146132a-69bb-42fc-82da-1db4e91b2804
-118.073400885222,34.0334355554561,3267,Request Completed,06/21/25,Full Encampment Protocol,2025/03/10 15:23:00+00,"San Gabriel Blvd & N Lincoln Ave, Montebello, CA, 90640, USA",Bosque del Rio Hondo trail,1,SPA 3,Unincorporated - South San Gabriel,no,5,,yes,0,2025/06/21 19:00:00+00,f880ff09-d053-4d59-8c30-c6e9e906acca
-118.029228381734,34.0385081323427,3268,Request Completed,01/22/26,Full Encampment Protocol,2025/03/10 15:54:00+00,"1720 Burkett Road, South El Monte, CA, 91733",Thienes gateway horse trail parallel to San Gabriel River.,1,SPA 3,Unincorporated - Pellissier Village,no,8,,yes,,2026/01/22 20:00:00+00,a125cccf-215f-4f25-8ada-cc355d4fbbcd
-118.394674437633,34.1507504077209,3269,Request Completed,03/17/25,Immediate Action,2025/03/10 20:16:00+00,"12009 Moorpark St, Valley Village, CA, 91607","Tujunga Wash, right (south) bank, between Laurel Canyon Blvd and Moorpark St, next to Moorpark Park",5,SPA 2,Los Angeles - Studio City,yes,3,2025/03/17 15:00:00+00,yes,6,2025/03/17 19:00:00+00,d75a69c6-27f8-4bb3-886c-80dd8b7d15f0
-118.388047536618,34.1436647470814,3270,Request Completed,03/17/25,Immediate Action,2025/03/10 20:50:00+00,"4137 Colfax Avenue, Studio City, CA, 91604","LA River, left (north) bank, upstream (west) of Colfax Ave",5,SPA 2,Los Angeles - Studio City,no,5,2025/03/17 15:00:00+00,yes,8,2025/03/17 19:00:00+00,a97e2f4d-fe9a-4c11-a2b8-57a12e522e47
-117.904330637932,33.9930695986124,3271,Request Completed,03/14/25,Immediate Action,2025/03/11 17:22:00+00,"1400 Felicia Avenue, Rowland Heights, CA, 91748","*Repeat Maintenance Cleanup*
Encampment and debris in underground portion of Vernon Channel. In danger of storm season flooding. Adjacent to Shopping Center at 1330 Fullerton Rd, also underneath Colima Rd. Previously cleaned on 3/07/25.",1,SPA 3,City of Industry,yes,2,2025/03/14 14:30:00+00,yes,25,2025/03/14 19:00:00+00,16b77f8b-ba70-4ba8-8fe2-4bc6bfc80494
-118.496069032791,34.1987909423453,3272,Request Completed,03/20/25,Immediate Action,2025/03/11 17:34:00+00,"7053 Rubio Avenue, Van Nuys, CA, 91406",Bull creek upstream of Vanowen left (east) bank   And down stream of Sherman way behind 7053 Rubio st. ,3,SPA 2,Los Angeles - Lake Balboa,yes,1,2025/03/20 15:00:00+00,yes,6,2025/03/20 19:00:00+00,83a97c00-78ea-4588-b481-240cceb9fd2e
-118.440856367292,34.3179808044903,3273,Request Completed,03/18/25,Immediate Action,2025/03/11 22:08:00+00,"14085 Lakeside St, Sylmar, CA, 91342",Wilson Canyon Channel upstream (north) of 210 Freeway and Polk St on-ramp,3,SPA 2,Los Angeles - Sylmar,no,5,2025/03/18 15:00:00+00,yes,8,2025/03/18 19:00:00+00,bf023886-29ef-472e-80b5-0334a78073e8
-118.268138952055,33.9161940069135,3274,Request Completed,05/06/25,Full Encampment Protocol,2025/03/12 16:03:00+00,"340 East El Segundo Boulevard, Los Angeles, CA, 90061",Alley behind address 340 E El Segundo blvd. Cross street El Segundo and Towne Av. ,2,SPA 6,Unincorporated - Willowbrook,yes,1,2025/06/24 15:00:00+00,prev_approved_activity_not_required,0,2025/05/06 19:00:00+00,b3b4dfc2-7356-4c17-8f76-ea497622a223
-118.247563107365,33.9541778054355,3275,Request Completed,07/08/25,Non-Displacement,2025/03/12 17:18:00+00,"9027 Compton Avenue, Los Angeles, CA, 90002","PEH encampment next to 9027 Compton Ave on 91st both east and west of 
Compton Ave.  ",2,SPA 6,Unincorporated - Florence-Firestone,no,6,2025/07/08 16:00:00+00,yes,100,2025/07/08 19:00:00+00,825c3841-43a4-4780-80b4-eebb46ac7c83
-118.592472067177,34.2351010116031,3276,Request Completed,03/20/25,Immediate Action,2025/03/12 17:27:00+00,"21040 Nordhoff St, Chatsworth, CA, 91311","Browns Creek Channel, left (east) bank, downstream (south) of Nordhoff St",3,SPA 2,Los Angeles - Canoga Park,no,5,2025/03/26 15:00:00+00,yes,26,2025/03/20 19:00:00+00,c9eea4f6-9dc2-4aa1-8fc7-cf632ce8a64f
-118.151297886019,34.0336138895052,3277,Request Completed,03/18/25,Full Encampment Protocol,2025/03/12 18:06:00+00,"5245 Pomona Boulevard, Los Angeles, CA, 90022",Alley behind 212 S Atlantic Blvd,1,SPA 7,Unincorporated - East Los Angeles,yes,2,2025/03/18 15:00:00+00,yes,5,2025/03/18 19:00:00+00,b567a9f4-d8d6-4fc9-a833-84d3adb9f1cb
-117.97080555554,34.0207499999954,3278,Request Completed,03/21/25,Immediate Action,2025/03/12 20:10:00+00,"15200 Don Julian Road, Hacienda Heights, CA, 91745","Encampment is located at San Jose Creek at Turnbull Canyon Rd, upstream on the right bank, obstructing maintenance operations, and is also in an active construction zone.",1,SPA 3,City of Industry,yes,2,,yes,3,2025/03/21 19:00:00+00,4ca82008-856a-4846-8349-44b54325b8aa
-118.23267591102,33.9586469596013,3279,Request Completed,04/23/25,Full Encampment Protocol,2025/03/12 21:11:00+00,"2222 State Route 42, Los Angeles, CA, 90002",PEH’s on center island across address 8645 Juniper St. ,2,SPA 6,Unincorporated - Florence-Firestone,yes,3,2025/07/08 15:00:00+00,yes,10,2025/04/23 19:00:00+00,05304ccc-a9a5-4571-8876-a8ed85e6f26c
-118.22683135852,33.9317884702172,3280,Request Completed,05/28/25,Full Encampment Protocol,2025/03/12 22:07:00+00,"2533 East 114th St, Los Angeles, CA, 90059","Across 2533 E 114th St, cross street Alameda.",2,SPA 6,Unincorporated - Willowbrook,no,6,2025/05/28 20:34:00+00,yes,80,2025/05/28 19:00:00+00,c1566b91-b4d3-4b42-8618-28bb9ae02963
-118.034650919994,33.9172623625168,3281,Request Completed,06/06/25,Full Encampment Protocol,2025/03/13 14:56:00+00,"12438 Woodridge Avenue, Whittier, CA, 90605",PEH at bus stop on Imperial Hwy next to address 12438 Woodridge Av. ,4,SPA 7,Unincorporated - South Whittier,yes,1,2025/06/24 15:00:00+00,prev_approved_activity_not_required,0,2025/06/06 19:00:00+00,c823ea0e-5dde-45ea-81e8-ce62d93bca38
-118.045548622454,33.9366092068635,3282,Request Completed,06/06/25,Full Encampment Protocol,2025/03/13 15:41:00+00,"10656 Carmenita Road, Whittier, CA, 90605","Florence Ave at Carmenita Rd, east of Carmenita north side Florence. ",4,SPA 7,Unincorporated - South Whittier,yes,1,2025/06/24 15:00:00+00,prev_approved_activity_not_required,0,2025/06/06 19:00:00+00,f33799bf-5c9b-4c8f-887b-09d472964ece
-118.021758276808,33.9466985944902,3283,Request Completed,07/02/25,Non-Displacement,2025/03/13 16:22:00+00,"9605 Armley Avenue, Whittier, CA, 90604","PEH on Lambert Rd next to address 9605 Armley Ave, Whittier. ",4,SPA 7,Unincorporated - South Whittier,yes,1,2025/06/24 15:00:00+00,prev_approved_activity_not_required,0,2025/07/02 19:00:00+00,4fb7bb42-8f9b-4c51-8f55-47a826f28d4f
-118.155786258677,34.017251073893,3284,Request Completed,04/16/25,Full Encampment Protocol,2025/03/13 17:54:00+00,"5365 Carolina Place, Los Angeles, CA, 90022",PEH on Carolina Pl and Goodrich Blvd. ,1,SPA 7,Unincorporated - East Los Angeles,no,5,2025/04/15 15:00:00+00,yes,10,2025/04/16 19:00:00+00,5a08e5f7-f602-4cfb-8069-efbd278a6be0
-118.24512574855,33.9876276778073,3285,Request Completed,08/05/25,Non-Displacement,2025/03/13 20:51:00+00,"5882 South Miramonte Boulevard, Los Angeles, CA, 90001",Alley behind address 5882 S Miramonte blvd and sidewalk next to address.,2,SPA 7,Unincorporated - Florence-Firestone,yes,4,2025/08/05 15:00:00+00,yes,40,2025/08/05 19:00:00+00,b6ac93f4-df65-498f-8d0c-83aa955037bd
-118.254236199299,33.9294834073653,3286,Request Completed,03/19/25,Non-Displacement,2025/03/13 22:11:00+00,"11600 South Central Avenue, Los Angeles, CA, 90059",Compton creek - between Imperial Hwy to south of 120th street ok,2,SPA 6,Los Angeles - Watts,no,25,2025/03/19 19:00:00+00,yes,44,2025/03/19 19:00:00+00,1fe4346c-7198-431d-83a5-6240da90c848
-118.439392836843,34.2682367268697,3287,Request Completed,03/20/25,Immediate Action,2025/03/14 15:47:00+00,Haddon Ave at del sur st.  ,"Pacoima Wash, right (west) bank, downstream (south) of Haddon St, next to Paxton Park and 118/5 Fwy Interchange",3,SPA 2,Los Angeles - Pacoima,yes,2,2025/03/20 15:00:00+00,yes,8,2025/03/20 19:00:00+00,72fe7b13-eeae-42f1-ac41-edbe8264ba79
-118.455002151975,34.2097830946399,3288,Request Completed,03/20/25,Immediate Action,2025/03/14 16:46:00+00,"14757 Lull St, Van Nuys, CA, 91405","Pacoima Wash, both banks, from Raymer St to Saticoy St",3,SPA 2,Los Angeles - Van Nuys,no,7,2025/03/20 15:00:00+00,yes,20,2025/03/20 19:00:00+00,a20ef9d3-d466-4b01-bae3-e3fc4706f732
-118.42226201678,34.2235950473974,3289,Request Completed,04/01/25,Immediate Action,2025/03/17 17:26:00+00,"13301 Truesdale St, Panorama City, CA, 91402","Tujunga Wash, right (west) bank, upstream (north) of Roscoe Blvd",3,SPA 2,Los Angeles - Panorama City,yes,3,2025/04/01 15:00:00+00,yes,2,2025/04/01 19:00:00+00,d0bec178-b334-4667-82c4-699e40b1b683
-117.904330637928,33.9930695986113,3290,Request Completed,03/21/25,Immediate Action,2025/03/18 21:57:00+00,"1400 Felicia Avenue, Rowland Heights, CA, 91748","*Repeat Maintenance Cleanup*
Encampment and debris in underground portion of Vernon Channel. In danger of storm season flooding. Adjacent to Shopping Center at 1330 Fullerton Rd, also underneath Colima Rd. Previously cleaned on 3/14/25.",1,SPA 3,City of Industry,yes,2,,yes,7,2025/03/21 19:00:00+00,7b078ea0-8f7b-45dc-8890-34792c2d3ed7
-118.530837167161,34.1683045775006,3291,Request Completed,04/10/25,Immediate Action,2025/03/19 18:27:00+00,"5355 Etiwanda Avenue, Tarzana, CA, 91356","Caballero creek left (west) bank,down stream north of Ventura boulevard on Etiwanda heading towards the 101 freeway. ",3,SPA 2,Los Angeles - Tarzana,no,6,2025/04/10 15:00:00+00,yes,6,2025/04/10 19:00:00+00,3f53c9a5-9894-4915-acd7-fd0598634d6f
-118.010955844701,34.0998236265021,3292,Request Completed,03/25/25,Immediate Action,2025/03/19 20:43:00+00,"5401 Peck Road, Arcadia, CA, 91006","*Repeat Maintenance Cleanup* Various Encampments in continuous outreach areas: Peck Park Spreading Grounds, Santa Anita Wash - Live Oak Ave to Peck Park SG. Rio Hondo - 10 Fwy to Peck SG. Arcadia Wash - Lower Azusa. Previously cleaned up on 02/25-02/26.",5,SPA 3,City of Arcadia,yes,4,,yes,44,2025/03/25 19:00:00+00,fe3329c7-e5ca-4c49-8697-6aba50c481e7
-118.171640737394,33.9499979922451,3293,Request Completed,04/17/25,Immediate Action,2025/03/19 20:00:00+00,"5449 Firestone Boulevard South Gate, CA, 90280","* REPEAT MAINTENANCE CLEANUP * DDI 23- North and South of Firestone Blvd and west of Freeway 710 South bound direction. PEH Encampment trash & debris blocking the maintenance access road right of way.

Last cleanup was on 3/7/2025",4,SPA 7,City of South Gate,no,5,2025/04/17 15:00:00+00,yes,58,2025/04/17 19:00:00+00,659062a3-c6b7-4049-802d-4446eba9b15a
-118.10799501747,33.8302692247606,3294,Request Completed,04/28/25,Full Encampment Protocol,2025/03/20 16:23:00+00,"3948 Conquista Avenue, Long Beach, CA, 90808",At BI 0009 Los Cerritos Channel ROW eastside behind and across 3948 Conquista Ave Lakewood Ca,4,SPA 8,Unincorporated - Long Beach,yes,4,2025/04/28 15:00:00+00,yes,7,2025/04/28 19:00:00+00,a5f72d06-0c43-45e2-8021-b3f31476a290
-118.093992191126,33.7874220142936,3295,Request Completed,05/02/25,Full Encampment Protocol,2025/03/20 17:19:00+00,"7150 East Atherton Drive, Long Beach, CA, 90815","San Gabriel River from Carson St to Marina Dr, including behind 7150 E Atherton Dr.",4,SPA 8,City of Long Beach,no,6,2025/05/02 02:30:00+00,yes,160,2025/05/02 19:00:00+00,df7a7e0f-6717-4313-8763-ec9ef4a01cc9
-117.98330555553,34.0266111111036,3296,Request Completed,03/21/25,Immediate Action,2025/03/20 17:42:00+00,"649 7th Avenue, La Puente, CA, 91746","*Repeat Maintenance Cleanup* Encampments are located at San Jose Creek, on the right bank, upstream and downstream of 7th Ave, and are obstructing maintenance operations, previously cleaned up on 03/14/25.",1,SPA 3,City of Industry,yes,3,,yes,8,2025/03/21 19:00:00+00,87009662-6f66-46bd-8a03-4d04935c752c
-117.972992593501,34.0196126327143,3297,Request Completed,05/07/25,Non-Displacement,2025/03/20 20:25:00+00,"15149 Salt Lake Avenue, La Puente, CA, 91746",Across from 15149 Salt Lake Avenue,1,SPA 3,Unincorporated - Hacienda Heights,yes,2,2025/05/07 15:00:00+00,yes,10,2025/05/07 19:00:00+00,47e2b1dc-30fa-451f-b4b5-d17938daa09c
-118.455759159057,34.2132560678604,3298,Request Completed,04/02/25,Immediate Action,2025/03/21 17:14:00+00,"7856 Willis Ave, Panorama City, CA, 91402, USA","Project 85, left (north) bank, upstream (west) of Willis Ave",3,SPA 2,Los Angeles - Panorama City,no,10,2025/04/01 15:00:00+00,yes,70,2025/04/02 19:00:00+00,71ab01b6-f8dd-4ef4-a787-57ca65548de4
-117.93763599998,33.9990369999942,3299,Request Completed,03/28/25,Immediate Action,2025/03/21 21:28:00+00,"17018 Evergreen Place, Hacienda Heights, CA, 91745",Encampment is located on MTD 0008 right of way on the left bank behind 17018 Evergreen Pl and is blocking access and maintenance works.,1,SPA 3,City of Industry,yes,3,,yes,27,2025/03/28 19:00:00+00,0a31e42d-df3f-4bc1-8543-5bc0f8b98425
-118.2542291392,33.9294702125088,3300,Request Completed,03/25/25,Full Encampment Protocol,2025/03/21 23:41:00+00,"11600 South Central Avenue, Los Angeles, CA, 90059",Compton Creek at Imperial hwy and Central heading north towards 108th and McKinley ,2,SPA 6,Los Angeles - Watts,no,15,,prev_approved_activity_not_required,,2025/03/25 19:00:00+00,c9d17166-8ca3-4577-8676-b8afc5ed738c
-118.028841302007,34.0393186964373,3301,Request Completed,04/02/25,Immediate Action,2025/03/24 21:50:00+00,"11526 Thienes Avenue, South El Monte, CA, 91733","*Repeat Maintenance Cleanup* San Gabriel River - San Jose Creek Confluence to Valley Blvd. Soft Bottom Invert, outlets, and embankment encampments are at high risk of flooding and are also obstructing vegetation clearing maintenance work. Access road encampments blocking emergency and maintenance vehicular access. Previously cleaned up on 03/04-03/05/25.",1,SPA 3,City of South El Monte,no,10,,yes,50,2025/04/02 19:00:00+00,4df36457-14e9-4e95-8f27-0aec557074dd
-117.904330637924,33.9930695986101,3302,Request Completed,03/28/25,Immediate Action,2025/03/25 17:51:00+00,"1400 Felicia Avenue, Rowland Heights, CA, 91748","*Repeat Maintenance Cleanup*
Encampment and debris in underground portion of Vernon Channel. In danger of storm season flooding. Adjacent to Shopping Center at 1330 Fullerton Rd, also underneath Colima Rd. Previously cleaned on 3/21/25.",1,SPA 3,City of Industry,yes,2,,yes,3,2025/03/28 19:00:00+00,beb018fd-8518-4cc5-8dc0-b5acec965d08
-118.312325832452,33.7151545308616,3303,Request Completed,04/07/25,Immediate Action,2025/03/27 14:11:00+00,"1601 West Paseo Del Mar, San Pedro, CA, 90731",The location and about 100 yards west of this point. ,4,SPA 8,Los Angeles - San Pedro,yes,2,2025/04/07 15:00:00+00,yes,25,2025/04/07 19:00:00+00,f06ca811-027f-49e3-8ff5-4e73f89f9849
-118.119857897118,33.9757366141298,3306,Request Completed,04/24/25,Full Encampment Protocol,2025/04/01 15:48:00+00,"8129 East Slauson Avenue, Montebello, CA, 90640",Area that needs to be addressed is Rio Hondo S. G. between Whittier Blvd (Montebello) to Telegraph Rd. (Downey).,1,SPA 7,City of Montebello,no,20,2025/04/24 14:30:00+00,yes,50,2025/04/24 19:00:00+00,a26c833a-f806-4013-abb1-6afb19727bdb
-117.90433063792,33.993069598609,3307,Request Completed,04/04/25,Immediate Action,2025/04/01 22:48:00+00,"1400 Felicia Avenue, Rowland Heights, CA, 91748","*Repeat Maintenance Cleanup*
Encampment and debris in underground portion of Vernon Channel. In danger of storm season flooding. Adjacent to Shopping Center at 1330 Fullerton Rd, also underneath Colima Rd. Previously cleaned on 3/28/25.",1,SPA 3,City of Industry,yes,2,,yes,15,2025/04/04 19:00:00+00,d7861fd1-a289-48b8-8178-36881a097513
-118.205901854685,33.8317445100363,3308,Request Completed,04/23/25,Immediate Action,2025/04/02 13:35:00+00,"900 West Carson St Long Beach, CA, 90810","900 W. Carson St. Long Beach CA. 90810
Dominguez Wetlands, East and West sides.",4,SPA 8,City of Long Beach,no,10,2025/04/22 15:00:00+00,yes,50,2025/04/23 19:00:00+00,ad2d4b9f-b6f2-427e-8e66-bc8bde2f306d
-118.201919707795,33.8461529725825,3309,Request Completed,05/02/25,Immediate Action,2025/04/02 14:08:00+00,"4951 Oregon Avenue, Long Beach, CA, 90805","Dominguez Gap Wetlands East Basin, behind to 4951 Oregon Ave. Long Beach, Ca. 90805",4,SPA 8,City of Long Beach,no,10,,prev_approved_activity_not_required,,2025/05/02 19:00:00+00,26962aa6-a852-46f8-8ea5-8660747c9cc5
-118.167196651041,34.0226423293383,3310,Request Completed,06/24/25,Non-Displacement,2025/04/02 15:40:00+00,"4635 Whittier Boulevard, Los Angeles, CA, 90022",Alley behind address 4635 Whittier Blvd.,1,SPA 7,Unincorporated - East Los Angeles,yes,1,2025/06/24 15:00:00+00,yes,10,2025/06/24 19:00:00+00,97271ab4-54ae-46be-8716-153d5466ffc6
-118.020552582549,33.9249183918916,3311,Request Completed,07/02/25,Non-Displacement,2025/04/02 16:42:00+00,"14605 Leffingwell Road, Whittier, CA, 90604","14605 Leffingwell Road, Whittier, CA, 90604",4,SPA 7,Unincorporated - South Whittier,yes,2,2025/07/02 18:41:00+00,prev_approved_activity_not_required,0,2025/07/02 19:00:00+00,b0dcccf3-a873-4f57-ad11-78650b46f20c
-118.156637817867,34.0217282897173,3312,Request Completed,06/24/25,Non-Displacement,2025/04/02 16:46:00+00,"728 South Atlantic Boulevard, Los Angeles, CA, 90022",In front of 728 S Atlantic Blvd. ,1,SPA 7,Unincorporated - East Los Angeles,yes,1,2025/06/17 15:00:00+00,yes,20,2025/06/24 19:00:00+00,e4380ddb-a8c6-4d80-84f4-473c0b618f0a
-118.075639789461,33.8367161260742,3313,Request Completed,04/18/25,Full Encampment Protocol,2025/04/02 17:30:00+00,"12022 Centralia Road, Hawaiian Gardens, CA, 90716","Channel BI 0021behind St Peters Church at 12001 214th St Hawaiian Gardens
Last cleanup was on 3/27/25.",4,SPA 7,City of Hawaiian Gardens,no,5,2025/04/18 15:00:00+00,yes,40,2025/04/18 19:00:00+00,19404e4d-fbab-438f-80fa-3de46cf97b0f
-118.083773281604,33.9757386833298,3314,Request Completed,04/18/25,Immediate Action,2025/04/03 17:31:00+00,"7004 Pico Vista Road, Pico Rivera, CA, 90660","Behind 7004 Pico Vista Road, Pico Rivera, CA. |San Gabriel River",4,SPA 7,City of Pico Rivera,no,6,2025/04/18 15:00:00+00,yes,10,2025/04/18 19:00:00+00,0e6d50d1-9080-4c52-8d95-00464b12a0cc
-118.455525031424,34.2099978270473,3315,Request Completed,04/10/25,Immediate Action,2025/04/03 23:02:00+00,"14761 Lull St, Van Nuys, CA","Pacoima Wash, left (east) bank, upstream (north) and downstream (south) of Keswick St ",3,SPA 2,Los Angeles - Van Nuys,no,7,2025/04/10 15:00:00+00,yes,50,2025/04/10 19:00:00+00,928b8100-f17a-4284-a7dd-3a9700918a61
-118.232675285799,33.9597964155096,3316,Request Completed,08/20/25,Non-Displacement,2025/04/04 19:13:00+00,"8610 Juniper St, Los Angeles, CA, 90002",8610 Juniper St.(Juniper St between Firestone & Manchester),2,SPA 6,Unincorporated - Florence-Firestone,yes,2,2025/09/16 15:00:00+00,yes,0,2025/08/20 19:00:00+00,3e1a9b2f-716e-4a72-8a6d-3f126016a10a
-118.273643712511,33.8950181437709,3317,Request Completed,07/24/25,Non-Displacement,2025/04/04 21:27:00+00,"163 East Compton Boulevard, Gardena, CA, 90248",Compton Blvd from Main St  to San Pedro St.,2,SPA 6,Unincorporated - Rosewood/East Gardena,no,50,2025/07/22 15:00:00+00,yes,620,2025/07/24 19:00:00+00,a4f3cf35-4947-4922-8936-10950c2c1b1a
-118.172354112035,34.023549346431,3318,Request Completed,04/15/25,Full Encampment Protocol,2025/04/07 19:05:00+00,"4466 Whittier Boulevard, Los Angeles, CA, 90022",Whittier Blvd under 710 freeway.,1,SPA 7,Unincorporated - East Los Angeles,yes,2,2025/04/15 21:16:00+00,yes,15,2025/04/15 19:00:00+00,a7445991-c57f-474e-8722-ce85b20fc28b
-118.38308810716,34.1679121668831,3319,Request Completed,04/15/25,Immediate Action,2025/04/08 18:59:00+00,"Tujunga Canyon Blvd, Tujunga, CA, 91042, USA","Tujunga Wash Central Branch, left (east) bank, downstream (south) of Chandler Blvd, near North Hollywood Recreation Center",5,SPA 2,Los Angeles - Valley Village,no,6,2025/04/15 15:00:00+00,yes,40,2025/04/15 19:00:00+00,b0965650-f3ec-4542-be00-01d3809cadc6
-118.397324794238,34.1828548700878,3320,Request Completed,04/15/25,Immediate Action,2025/04/08 19:34:00+00,Laurel Canyon Blvd at Alexandria Park,"Tujunga Wash Central Branch Channel, left (east) bank, upstream (northwest) of Laurel Canyon Blvd, next to Alexandria Park Tiny Home Village",3,SPA 2,Los Angeles - North Hollywood,no,5,2025/04/15 15:00:00+00,yes,25,2025/04/15 19:00:00+00,7f188a86-afae-4c77-89d8-7fc2072aeb06
-118.265473317437,33.8889193345075,3321,Request Completed,06/27/25,Non-Displacement,2025/04/09 15:40:00+00,"15730 Avalon Boulevard, Compton, CA, 90220",North of 15801 Avalon Blvd at San Pedro Street,2,SPA 6,Unincorporated - West Rancho Dominguez,yes,2,2025/07/22 15:00:00+00,prev_approved_activity_not_required,0,2025/06/27 19:00:00+00,cbb8849a-a912-45aa-9944-e32a3332da3c
-118.230383255731,33.9659466650657,3322,Request Completed,08/20/25,Non-Displacement,2025/04/09 17:15:00+00,"8015 Santa Fe Avenue, Huntington Park, CA, 90255",Center St between Santa Fe Ave and Marbrisa Ave,2,SPA 6,Unincorporated - Florence-Firestone,no,10,2025/08/19 15:00:00+00,yes,160,2025/08/20 19:00:00+00,2aa0295a-5704-4412-94e0-fd8b1e227ef5
